arima_pred,sarimax_pred,rf_pred,xgb_pred,prophet_pred
357.4005,304.2159,358.944,271.155,346.6534
446.9778,436.2364,390.7328,332.6883,380.668
441.2514,385.4139,291.2461,292.6502,349.6227
476.4354,432.7656,313.3336,340.8648,365.2783
528.2198,534.8825,402.453,446.5886,484.4637
513.4992,520.3305,376.1276,450.7332,472.8659
343.1582,398.9824,392.9805,422.5873,402.5921
454.8499,413.3042,366.3665,392.3528,396.6706
489.7865,484.4406,391.1984,441.387,393.0912
564.121,518.9587,414.1665,495.1812,450.8531
586.0071,548.4045,426.9621,487.1226,444.2352
435.575,442.7631,352.4336,373.3753,383.9281
472.3867,474.6998,389.0117,442.1209,407.3749
381.0793,437.9689,384.3842,427.7422,414.7501
