date,boro_rco_T,arima_pred,rf_pred,xgb_pred,prophet_pred
2022-10-02,16856,21367.831,25753.9491,22565.1579,24660.6217
2022-10-03,16335,27342.8276,26648.2844,21819.5008,26852.0246
2022-10-04,17045,27884.3421,22441.5241,18900.8882,26102.1397
2022-10-05,22322,32212.7298,26067.3129,24682.9969,29039.9039
2022-10-06,40821,42516.7218,38609.2597,41395.6099,40153.5433
2022-10-07,40167,41126.8927,37601.0254,39601.7183,39471.3239
2022-10-08,31107,26586.3269,33404.5547,31046.4737,33942.0781
2022-10-09,28959,31384.7568,30976.2643,26178.218,32032.6621
2022-10-10,31490,33168.3762,35095.5186,36648.1793,31889.3065
2022-10-11,37500,38727.8504,39970.4596,39593.386,36339.8755
2022-10-12,39610,41658.6119,41357.2104,41272.2896,36896.4629
2022-10-13,25049,33259.1236,28981.4599,30530.8255,31008.1651
2022-10-14,37746,37484.785,36761.5538,35850.5721,34769.0227
2022-10-15,36484,29979.5659,37520.3124,36171.0045,35894.914
