date,city_rco_T,arima_pred,sarimax_pred,rf_pred,xgb_pred,prophet_pred
2022-10-02,25183,34112.5757,30175.4748,39990.5197,41650.9304,38905.461
2022-10-03,24008,40357.1729,34643.3834,40143.2581,43019.1547,40089.4338
2022-10-04,25652,41115.9588,33692.5925,33093.8033,37707.7838,38934.5591
2022-10-05,34822,47263.2325,40280.8982,37186.3882,38122.4126,43533.3687
2022-10-06,60336,62600.7599,59699.2884,56264.2935,60659.7113,59813.2955
2022-10-07,60674,61407.404,59124.5293,56880.0542,59437.7623,59278.2564
2022-10-08,50170,42026.1896,46101.9076,51157.536,54462.8324,53486.7219
2022-10-09,46379,49075.9751,44097.9322,46785.2548,52022.4178,50433.792
2022-10-10,47374,49669.4074,45810.028,51518.9513,53604.9855,48689.7732
2022-10-11,54943,57111.6699,53036.0798,57950.3047,58451.6909,54345.975
2022-10-12,58288,61020.0478,54888.8944,59237.4987,60171.2434,55275.3412
2022-10-13,36511,48760.8842,44639.4087,45107.6688,49371.2691,46121.6862
2022-10-14,56008,56130.4673,49391.1357,54417.3011,59614.476,52667.8158
2022-10-15,56708,46903.0551,51647.4626,58297.2586,56827.8952,56535.0931
